Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 15-64, total",SP.POP.1564.TO,Albania,ALB,860262,880985,901816,923218,946272,971355,998344,1027517,1061209,1098019,1133706,1170473,1210344,1251182,1293783,1338552,1384060,1431424,1478214,1524705,1572194,1618587,1666404,1714016,1760965,1806483,1849298,1892829,1933503,1989469,2027747,2016781,2004866,1992321,1979487,1966765,1955476,1946725,1940715,1936964,1934786,1928110,1934852,1940739,1946550,1951717,1955295,1956736,1957585,1959562,1963578,1969436,1974096,1975006,1972967,1967517,1962501,1958423,1951044,1937930,1921404,1897426,1866557,1836327
"Population ages 15-64, total",SP.POP.1564.TO,Algeria,DZA,5824918,5869897,5905143,5943869,6001519,6072016,6172846,6313036,6471455,6640764,6813363,6989839,7175283,7373785,7589845,7871099,8201406,8501215,8793101,9112626,9454469,9818280,10205109,10615287,11049456,11508322,11985995,12442958,12880345,13329909,13789483,14250380,14710931,15182962,15668783,16176902,16727703,17309467,17887221,18466896,19055389,19637295,20206328,20759991,21301420,21799276,22287052,22796543,23293706,23777487,24238179,24667114,25063165,25412579,25723551,26021777,26311329,26594763,26884238,27191521,27520307,27878915,28275097,28705840
"Population ages 15-64, total",SP.POP.1564.TO,American Samoa,ASM,9725,10081,10499,10905,11295,11685,12064,12439,12836,13268,13705,14110,14493,14863,15238,15661,16138,16635,17140,17655,18286,19066,19907,20781,21687,22617,23568,24527,25492,26464,27284,27901,28471,29045,29630,30219,30810,31411,32006,32588,32997,33167,33248,33301,33351,33435,33542,33645,33710,33691,33669,33647,33521,33300,33003,32646,32236,31783,31297,30760,30184,29563,29039,28657
"Population ages 15-64, total",SP.POP.1564.TO,Andorra,AND,6261,6761,7275,7804,8348,8913,9525,10229,11022,11889,12837,13860,14951,16109,17319,18557,19811,21073,22323,23555,24780,26019,27309,28647,30006,31376,32826,34363,35910,37445,38959,40463,41960,43434,44876,46281,47067,47233,47362,47476,47593,48829,51195,53592,56003,58398,58718,57020,55375,53732,52106,51344,51422,51472,51536,51591,52153,53251,54305,55337,56310,57212,57663,57689
"Population ages 15-64, total",SP.POP.1564.TO,Angola,AGO,2929489,2947964,2961986,2973027,2977902,2979781,2979149,2974713,2972783,2984176,3016293,3078554,3177354,3297878,3425952,3557944,3692342,3834326,3985406,4141958,4305938,4475608,4649566,4827914,5007427,5186536,5363036,5533925,5706137,5885334,6070230,6259500,6451763,6645549,6848699,7072670,7314252,7568942,7832100,8101048,8382476,8678285,8988627,9317374,9665698,10028973,10405837,10798883,11205663,11626985,12069114,12532842,13014212,13510168,14019670,14540242,15083377,15651045,16229250,16823353,17417386,18020088,18643225,19283732
"Population ages 15-64, total",SP.POP.1564.TO,Antigua and Barbuda,ATG,30736,31198,31501,31766,31892,31937,32040,32181,32383,32673,33130,33594,33891,34129,34407,34783,35257,35806,36391,36980,37555,38106,38634,39143,39495,39562,39480,39355,39179,38957,38733,39088,40082,41133,42175,43250,44344,45465,46598,47701,48744,49724,50669,51588,52527,53566,54658,55782,56946,58105,59233,60310,61317,62205,62954,63659,64268,64742,65183,65573,65896,66173,66416,66665
"Population ages 15-64, total",SP.POP.1564.TO,Arab World,ARB,49487827,50529531,51650903,52837888,54090817,55402019,56784552,58275466,59881925,61576420,63318316,65110892,66966069,68913239,71017058,73280384,75846907,78580934,81227034,84156088,87336304,90387633,93483556,96743736,100044188,103351651,106760610,110201158,113492766,116876845,120979303,124265568,128144298,132459561,137034544,141541571,146156203,150949082,155861237,160887854,166058256,171276260,176537278,181829483,187189293,193054832,199734960,206996240,214207746,221083310,227277696,232457821,237401669,242565569,247656591,252726179,258019097,263472739,269188279,274995997,279876708,284583116,290385100,296772340
"Population ages 15-64, total",SP.POP.1564.TO,Argentina,ARG,12965535,13176121,13394503,13615471,13835405,14055783,14280490,14508168,14737169,14965958,15195871,15423441,15650035,15876561,16099628,16308622,16500499,16690749,16883360,17078449,17277739,17487215,17709171,17941558,18182747,18433237,18697164,18974613,19265877,19568547,19875164,20181842,20491031,20804279,21122391,21442645,21761082,22075914,22388268,22700886,23012751,23325364,23640531,23956353,24273923,24597633,24926184,25253207,25581439,25914190,26042007,26389676,26719164,27038106,27356930,27672739,27986612,28304390,28630919,28967430,29320716,29693851,30065743,30421734
"Population ages 15-64, total",SP.POP.1564.TO,Armenia,ARM,1065003,1084104,1110028,1141666,1176181,1213050,1252477,1293679,1336979,1382568,1429922,1479701,1533590,1591875,1654160,1719660,1785020,1848668,1911643,1965237,2003188,2033269,2060425,2084784,2106181,2125242,2142880,2158898,2168513,2226061,2295587,2323527,2275848,2177798,2110297,2072659,2059711,2047301,2037893,2032635,2028347,2023610,2020464,2020686,2023892,2030355,2039899,2052254,2064467,2072039,2073112,2067618,2057353,2043485,2026872,2006933,1983725,1958831,1933718,1908739,1886737,1865265,1845507,1830954
"Population ages 15-64, total",SP.POP.1564.TO,Aruba,ABW,29759,30466,30940,31424,31924,32437,32952,33384,33688,33912,34083,34224,34636,35432,36373,37332,38187,38894,39496,40005,40396,40636,40959,41440,41898,42319,42671,42917,43092,43336,43821,44644,46002,47864,49909,52075,54305,56452,58508,60477,62215,63457,64311,65073,65794,66476,67133,67787,68443,69102,69879,70693,71335,71805,72123,72305,72392,72417,72394,72341,72171,72080,71975,71665
"Population ages 15-64, total",SP.POP.1564.TO,Australia,AUS,6292375,6417818,6589642,6733296,6882453,7038353,7223348,7341981,7502007,7683920,7854797,8142939,8312505,8465462,8716702,8863079,8994679,9140881,9288752,9425006,9569000,9744907,9942754,10112198,10271131,10448204,10640853,10839764,11043284,11245929,11415078,11549946,11664387,11754306,11858713,11989636,12140698,12282166,12417030,12568636,12729175,12909312,13076482,13247817,13407531,13587612,13785404,14049608,14342140,14637328,14844429,15010632,15217504,15420332,15593448,15760132,15950251,16164960,16363671,16566343,16729640,16710291,16887993,17257989
"Population ages 15-64, total",SP.POP.1564.TO,Austria,AUT,4633265,4617690,4615737,4620920,4619535,4615259,4614238,4615958,4609383,4598618,4597890,4611662,4640698,4676463,4694173,4692362,4707837,4741844,4772679,4802105,4846328,4914857,4979548,5033355,5082055,5109326,5122590,5127529,5130120,5148524,5185162,5232760,5284193,5319765,5330400,5330655,5336622,5347896,5362014,5383919,5411062,5448046,5491630,5532119,5561678,5577847,5587256,5598503,5616074,5629260,5648587,5675763,5696737,5719020,5753902,5812079,5866325,5893061,5906977,5918009,5925020,5926351,5950883,5974693
"Population ages 15-64, total",SP.POP.1564.TO,Azerbaijan,AZE,2117537,2138015,2153874,2184304,2234676,2288852,2349004,2411103,2477595,2551401,2630556,2719209,2815403,2917254,3025569,3137636,3257870,3384785,3509347,3619922,3717330,3816488,3907709,3992855,4073600,4142664,4204463,4261248,4308814,4344766,4379814,4425539,4480951,4538789,4601677,4671653,4746739,4829451,4920011,5013501,5109845,5209603,5310291,5413099,5525064,5648279,5776611,5905867,6092006,6272038,6385040,6489844,6578456,6650675,6711491,6764283,6811714,6857549,6904446,6951369,6994975,7031387,7039605,7024473
"Population ages 15-64, total",SP.POP.1564.TO,"Bahamas, The",BHS,63116,66181,69452,72903,76183,79319,82553,85780,89078,92540,96365,100198,103596,106798,110131,113801,117862,122242,126782,131331,135778,139744,143322,146906,150304,153626,157109,160689,164374,168171,172109,176173,180261,184171,187886,191717,195678,199611,203552,207468,211553,215637,219413,223145,226968,230842,234771,238826,242945,246947,251619,256712,261229,265486,269650,273695,277677,281561,285172,288381,290849,292916,295378,298024
"Population ages 15-64, total",SP.POP.1564.TO,Bahrain,BHR,87737,90748,93782,96848,100001,102704,104941,107392,110186,113295,116653,122251,131079,141399,152443,164065,176064,188259,200540,212842,225106,236264,246217,256230,266610,277302,288230,299236,310135,320827,331351,342500,355032,368847,383670,399308,415752,432988,450671,468325,485650,502617,519452,547197,597277,659164,721560,784181,847025,910042,939534,936359,950784,980619,1011194,1046911,1085892,1125298,1149269,1150279,1130322,1114044,1119746,1130315
"Population ages 15-64, total",SP.POP.1564.TO,Bangladesh,BGD,27580799,28283605,29006832,29713769,30404573,31136766,31915005,32732195,33582627,34411530,35166177,35460980,35793839,36608767,37466310,38384750,39321545,40270986,41248866,42210450,43208765,44318734,45563067,46920954,48343108,49787346,51237943,52723265,54260481,55824497,57447194,59072788,60732893,62491456,64330045,66209208,68086718,70033213,72044989,74085380,76134099,78139758,80071880,81921372,83745577,85497651,86933413,88216600,89351100,90580787,92256484,94116706,96129495,98276729,100454049,102575958,104744797,106941690,108985072,110894720,112816371,114687891,116383491,117964397
"Population ages 15-64, total",SP.POP.1564.TO,Barbados,BRB,132382,132197,131656,131223,130810,130591,130695,130996,131538,132451,133831,135642,137832,140283,142860,145542,148284,150957,153435,155641,157516,159054,160287,161276,162121,162922,163755,164655,165587,166469,167488,168861,170290,171504,172506,173315,174063,174813,175591,176373,177092,178066,179187,180271,181505,182834,184211,185449,186290,186726,187188,187801,188316,188759,189156,189546,189957,190183,190140,189881,189385,188748,188128,187703
"Population ages 15-64, total",SP.POP.1564.TO,Belarus,BLR,5062078,5067318,5092670,5138878,5201296,5269217,5339693,5416041,5497755,5583821,5670538,5757119,5845610,5933748,6016587,6091668,6162558,6235602,6309561,6373827,6433061,6497624,6559648,6615168,6664046,6708456,6747852,6777834,6772472,6764680,6753198,6735186,6732524,6736330,6724125,6706225,6699206,6700414,6713022,6732601,6746976,6754627,6752560,6742926,6732526,6719466,6709131,6709208,6714272,6717245,6709807,6683135,6640107,6590587,6542450,6502346,6462580,6413187,6360836,6308566,6247755,6170451,6094192,6031039
"Population ages 15-64, total",SP.POP.1564.TO,Belgium,BEL,5889316,5886018,5893426,5924102,5963608,5998484,6020767,6039466,6057818,6074963,6081952,6096517,6128002,6161837,6204402,6250495,6293685,6331230,6364225,6399672,6442076,6487538,6537760,6590223,6629738,6646669,6651137,6654808,6666199,6674483,6673010,6673807,6679959,6689623,6697475,6698372,6697743,6701076,6705137,6713345,6723820,6743920,6774608,6805014,6836408,6881331,6944194,7013018,7073628,7123379,7176760,7249661,7267828,7277628,7285273,7306314,7325397,7333843,7346245,7366035,7384578,7402978,7448221,7515294
"Population ages 15-64, total",SP.POP.1564.TO,Belize,BLZ,46513,47206,47871,48587,49382,50252,51213,52285,53463,54759,56102,57348,58456,59484,60489,61863,63640,65487,67372,69310,71487,73981,76516,78879,81026,83064,85186,87414,89709,92038,94400,96720,99203,101979,105058,108748,113203,118340,123861,129446,134937,140357,145823,151389,157068,162906,168946,175198,181631,188241,195097,202089,209063,216091,223155,230147,237022,243729,250261,256675,262298,267254,272238,277283
"Population ages 15-64, total",SP.POP.1564.TO,Benin,BEN,1396607,1412722,1428389,1442783,1454000,1467741,1486863,1507182,1528898,1552022,1576597,1602803,1630944,1661224,1693780,1728953,1767431,1809287,1854123,1901782,1952106,2005020,2060310,2118012,2178179,2240944,2306725,2375656,2447482,2522690,2601523,2683599,2768890,2924842,3048017,3088773,3163742,3261986,3371766,3487122,3606758,3730128,3857165,3987921,4121820,4270093,4414563,4550231,4697712,4855367,5018750,5182561,5348799,5517939,5694681,5876198,6059293,6247970,6443462,6645752,6852380,7063242,7277900,7495703
"Population ages 15-64, total",SP.POP.1564.TO,Bermuda,BMU,27157,27901,28755,29655,30604,31527,32241,33008,33784,34569,35395,35363,35368,35416,35474,35521,35946,36355,36756,37146,37970,38418,38872,39386,39894,40384,40886,41353,41796,42190,42532,42248,41834,41946,42135,42359,42562,42754,43016,43215,43567,44011,44285,44571,44863,45195,45560,45906,46171,46378,45886,45259,45179,45096,45023,44957,44258,43416,43029,42625,42200,41715,41264,40900
"Population ages 15-64, total",SP.POP.1564.TO,Bhutan,BTN,126251,130143,134394,138732,143021,147252,151412,155771,160344,165152,170161,175330,180661,186168,191858,197748,203857,210197,216783,223534,230378,237321,244365,251609,259097,266785,274690,282822,291136,299637,307609,312908,301403,288329,289600,294439,301689,309035,317382,327962,340261,353335,367183,381792,397204,411314,422358,432094,441750,451111,460133,468827,477108,484970,492615,500206,507791,516402,525958,535278,544166,552490,560261,567633
"Population ages 15-64, total",SP.POP.1564.TO,Bolivia,BOL,2011208,2057109,2104324,2151256,2197176,2243802,2292031,2341507,2392417,2445000,2499286,2555433,2613635,2674514,2737826,2802654,2868889,2936549,3005729,3076340,3148061,3220738,3294740,3370437,3447622,3526047,3606062,3687927,3771755,3857400,3944403,4033027,4123501,4209995,4292365,4376745,4463961,4554504,4648783,4747541,4851108,4963640,5085593,5212455,5343196,5477335,5614336,5752921,5892126,6031280,6170180,6309718,6449685,6591185,6735916,6881432,7025856,7169627,7312945,7455693,7593734,7726980,7862863,8007339
"Population ages 15-64, total",SP.POP.1564.TO,Bosnia and Herzegovina,BIH,1878686,1906230,1937135,1971903,2009902,2050794,2094512,2141053,2190074,2240227,2290080,2338474,2385024,2430712,2476973,2524214,2572229,2620521,2668880,2717272,2765443,2812827,2858867,2902929,2943855,2980834,3013929,3042883,3066553,3084388,3096906,3103165,2906731,2622671,2471532,2468283,2614582,2744855,2811308,2852730,2885013,2907936,2919860,2915328,2886948,2853534,2832833,2801385,2756407,2708940,2662776,2618068,2572078,2531636,2494930,2454005,2412441,2369660,2324768,2279522,2234386,2189487,2157762,2138680
"Population ages 15-64, total",SP.POP.1564.TO,Botswana,BWA,258774,261709,264896,268317,272766,274992,274005,272907,271888,271175,271641,276573,289032,307401,328157,349897,372566,396143,420658,446041,471768,496427,517712,536885,556582,576937,597903,619501,641956,665534,690293,716146,744282,774697,805803,837313,869357,901605,933544,965072,996249,1026961,1056697,1085463,1113887,1142326,1171271,1201411,1232906,1265019,1296818,1326859,1354844,1382815,1411719,1442111,1474947,1509630,1544215,1577834,1611382,1643461,1676627,1712687
"Population ages 15-64, total",SP.POP.1564.TO,Brazil,BRA,38946430,39999791,41096496,42267024,43533179,44873615,46247968,47662049,49122574,50632853,52199085,53815928,55486868,57217189,59000526,60833433,62714084,64649786,66634722,68645122,70665645,72676386,74665855,76641897,78618045,80611684,82622303,84646706,86697760,88770384,90868427,92992528,95149326,97355941,99614642,101918393,104257762,106627027,109006750,111375254,113723821,116036453,118297028,120484166,122599349,124649426,126631537,128555114,130440998,132309102,134182780,136055226,137882323,139643831,141291467,142802802,144236047,145586706,146810991,147950382,148969796,149767451,150400744,151029363
"Population ages 15-64, total",SP.POP.1564.TO,British Virgin Islands,VGB,3699,3771,3865,3954,4048,4148,4247,4345,4439,4535,4652,4822,5022,5216,5415,5613,5818,6025,6231,6441,6684,6992,7346,7717,8112,8522,8930,9328,9716,10101,10479,10822,11131,11441,11765,12105,12454,12805,13162,13525,13879,14328,14942,15619,16291,16947,17594,18229,18853,19463,19839,20211,20639,20919,21247,21627,21998,22327,22614,22891,23197,23442,23656,23919
"Population ages 15-64, total",SP.POP.1564.TO,Brunei Darussalam,BRN,43405,45022,46764,48781,51129,53814,56813,60088,63574,67204,70888,74423,77685,81010,84717,88780,93093,97556,102062,106512,110861,115115,119496,124169,129078,134198,139487,144851,150212,155557,160897,165858,170032,173965,178263,182968,188168,193927,200183,206787,213615,220592,227635,234650,241545,248254,254755,261099,267340,273510,279627,285068,289702,294027,298172,302199,305956,309358,312397,315086,317577,319969,322264,324405
"Population ages 15-64, total",SP.POP.1564.TO,Bulgaria,BGR,5229328,5291243,5354518,5416396,5474638,5522389,5561288,5597872,5633284,5663500,5685679,5704263,5719726,5733707,5748139,5751074,5755282,5768475,5760932,5757488,5777551,5800762,5826257,5858016,5889929,5896856,5890643,5889240,5888590,5818762,5717728,5670017,5622831,5592672,5591744,5587864,5580058,5568563,5553373,5537362,5521592,5427238,5327942,5305099,5283071,5256073,5220366,5176982,5129121,5076737,5015444,4948648,4881414,4814205,4751668,4693084,4635204,4577516,4519501,4463647,4418066,4373155,4113496,4097806
"Population ages 15-64, total",SP.POP.1564.TO,Burkina Faso,BFA,2747408,2784842,2820311,2848908,2872365,2898070,2926020,2955791,2987939,3021621,3057279,3092800,3128867,3167896,3211487,3260229,3314439,3377205,3446377,3519457,3598044,3680175,3765504,3857582,3954746,4052763,4147987,4240757,4335593,4434634,4539006,4642117,4747490,4864310,4992774,5130974,5272892,5421378,5593659,5789949,5999424,6221808,6454255,6692664,6935961,7182028,7424317,7655353,7875966,8098235,8328092,8570848,8833680,9108761,9397743,9703705,10024653,10357389,10694927,11040724,11407221,11793330,12185694,12588910
"Population ages 15-64, total",SP.POP.1564.TO,Burundi,BDI,1428375,1463447,1498656,1523236,1566713,1614113,1658365,1705522,1748202,1784378,1820679,1865288,1841986,1818985,1872125,1920750,1960563,2012198,2074989,2120967,2230750,2335414,2375980,2425996,2466858,2498287,2519351,2561217,2601462,2630444,2668427,2710798,2788533,2580828,2587647,2870539,2840833,2819460,2906869,3020979,3114122,3228115,3355274,3498292,3672749,3842032,3999697,4160877,4354067,4601145,4818278,4966145,5114316,5266391,5412142,5462539,5473327,5568790,5754654,5990972,6209464,6430031,6669914,6931318
"Population ages 15-64, total",SP.POP.1564.TO,Cabo Verde,CPV,109602,110563,112420,114771,117434,120532,124122,128146,132599,137479,142343,145654,146986,147774,148766,149298,149335,149568,150112,151015,152619,154970,157561,160075,162404,164544,166553,168488,170389,172529,175315,179159,184230,190219,196828,203875,211309,219061,227032,235174,243233,251133,258999,266836,274671,282539,290459,298435,306412,314291,322461,330875,339071,347078,354920,362440,369431,375930,382057,387976,393798,399471,404943,410267
"Population ages 15-64, total",SP.POP.1564.TO,Cambodia,KHM,2937791,2998566,3061746,3128856,3203108,3281937,3359325,3435948,3513369,3592694,3582079,3533249,3558601,3604115,3647255,3567110,3362802,3257365,3253038,3347187,3438845,3517282,3664795,3804601,3922408,4025935,4166423,4328938,4461057,4578922,4710866,4833727,5040679,5308856,5493539,5640129,5817240,6010002,6319971,6645856,6877901,7115410,7358391,7605028,7850711,8094493,8339771,8585443,8821310,9035347,9229566,9406090,9558034,9706910,9861420,10005482,10147460,10289375,10422129,10544941,10674662,10810814,10940260,11069280
"Population ages 15-64, total",SP.POP.1564.TO,Cameroon,CMR,2923676,2950384,2991917,3045644,3095432,3147009,3203714,3262746,3324674,3390090,3459291,3532380,3609725,3691489,3777654,3868404,3955316,4038189,4134270,4239202,4380449,4544528,4623098,4679042,4799422,4940609,5088209,5241741,5395945,5552375,5717817,5888591,6064640,6250128,6443647,6643985,6853638,7073620,7299935,7528987,7762774,8006316,8264272,8530686,8800483,9073084,9349184,9639577,9943768,10254363,10570734,10890637,11217872,11559587,11963449,12402017,12814437,13206590,13606407,14034248,14474160,14923302,15386690,15869414
"Population ages 15-64, total",SP.POP.1564.TO,Canada,CAN,10494001,10675681,10869371,11089817,11339648,11607495,11913272,12241477,12562690,12860518,13195025,13760122,14075044,14400708,14758665,15124940,15462972,15772616,16051583,16324135,16630720,16904979,17149439,17345144,17524588,17694335,17871252,18089501,18297611,18600984,18847999,19040955,19225645,19411102,19619681,19832495,20058467,20284244,20489628,20710473,20968129,21262259,21557663,21811153,22076436,22349438,22624588,22865527,23111793,23362428,23592948,23758284,23909943,24035643,24145059,24191409,24331113,24502549,24747804,24999433,25141954,25140932,25461701,26083205
"Population ages 15-64, total",SP.POP.1564.TO,Caribbean small states,CSS,876345,891451,906082,920771,935225,949687,964501,979619,995627,1013202,1034133,1058704,1082036,1102930,1124015,1146029,1169015,1192166,1214696,1235644,1256898,1280243,1303598,1325098,1344292,1361424,1376680,1389637,1401495,1412666,1422306,1435113,1452560,1469799,1486986,1507503,1530470,1553644,1577076,1600356,1623289,1646617,1670340,1694660,1718353,1740983,1764278,1788010,1811329,1833851,1857055,1880666,1905292,1930244,1954490,1978229,2000320,2021267,2057035,2083743,2095209,2112887,2127367,2142389
"Population ages 15-64, total",SP.POP.1564.TO,Cayman Islands,CYM,4824,4873,4924,4977,5033,5108,5195,5295,5404,5515,5755,6175,6664,7168,7701,8247,8794,9346,9890,10448,11054,11704,12384,13090,13815,14559,15312,16070,16823,17610,18572,19687,20822,21959,23093,24219,25344,26453,27548,28628,29671,30720,31813,32928,34074,35254,36455,37677,38909,40120,41273,42346,43382,44433,45471,46470,47432,48348,49225,50063,50875,51368,51580,51811
"Population ages 15-64, total",SP.POP.1564.TO,Central African Republic,CAF,937301,950685,964495,978558,994695,1013494,1033405,1054191,1075828,1098030,1119285,1138344,1155800,1173155,1191469,1210932,1226620,1237984,1249396,1260933,1272744,1285031,1297959,1311597,1325652,1339623,1353391,1367000,1384972,1416036,1456141,1498233,1544346,1594097,1646045,1692623,1738516,1790436,1844220,1900843,1960217,2008702,2058124,2111996,2158494,2208794,2250529,2287010,2330951,2377925,2421653,2443243,2437306,2422105,2381123,2365018,2406067,2451013,2498715,2559349,2634787,2691324,2753527,2850475
"Population ages 15-64, total",SP.POP.1564.TO,Central Europe and the Baltics,CEB,58247293,58713387,59335947,60086284,60884982,61609245,62373971,63281548,64127753,64878734,65505920,66058404,66624459,67094379,67466367,67779442,68032050,68229537,68414514,68581998,68846645,69277060,69913368,70692247,71305419,71688807,71996700,72273718,72521186,72681133,72824873,72867493,72878918,73088024,73341134,73499686,73598333,73733720,73912988,74131301,74081116,73906553,73753285,73834715,73910203,73924277,73885123,73692356,73433487,73210772,72822461,72440110,71943657,71400952,70810853,70175130,69484057,68760704,68068987,67430746,66798095,65937281,65366372,65533333
"Population ages 15-64, total",SP.POP.1564.TO,Chad,TCD,1678718,1704515,1730237,1756002,1779682,1805947,1836385,1866137,1896365,1927537,1959730,1992474,2026309,2061814,2096374,2126960,2152619,2174662,2196229,2230278,2190280,2151261,2300410,2458550,2454552,2440751,2520004,2624024,2722250,2818937,2882850,2995288,3139719,3173574,3206808,3372107,3536116,3634676,3744746,3872564,3998960,4120124,4259397,4452828,4694147,4905668,5083919,5257987,5450246,5653756,5848080,6063980,6291705,6536644,6795089,7015679,7242411,7504762,7785176,8067277,8347423,8644889,8947169,9256549
"Population ages 15-64, total",SP.POP.1564.TO,Channel Islands,CHI,71246,71965,72673,73459,74289,75070,75802,76501,77123,77660,78124,78628,79347,80269,81318,82463,83310,83732,84131,84658,85278,86233,87614,89102,90524,91864,93125,94323,95488,96574,97545,98038,98000,97883,97773,97703,97812,98141,98544,98955,99380,99886,100562,101341,102187,103141,104234,105391,106466,107437,108347,108697,108707,109144,109630,110274,111076,111911,113535,115479,117032,118307,119211,119803
"Population ages 15-64, total",SP.POP.1564.TO,Chile,CHL,4648408,4737863,4832118,4930235,5031822,5137715,5246572,5356479,5468361,5583550,5703775,5829624,5958524,6090686,6228429,6370665,6514831,6660468,6807577,6955993,7105263,7253684,7401437,7548447,7694101,7839327,7985430,8133324,8281001,8424736,8564931,8703946,8842834,8981860,9121594,9262532,9405318,9551155,9700428,9853407,10010039,10169856,10333879,10502180,10674260,10850217,11028048,11202016,11369721,11532057,11686611,11832020,11967095,12091158,12211695,12328424,12467153,12668844,12909544,13146408,13314429,13423378,13458005,13417152
"Population ages 15-64, total",SP.POP.1564.TO,China,CHN,371478204,370644985,373916622,379324943,384608183,392459201,403156857,415082625,427511788,439885220,453299770,466792477,480289919,493168871,502808705,510508030,517729429,528738723,547101259,566480467,583687542,600441839,616596105,634113758,652879800,671252711,689171232,705817809,721706724,735923185,747174586,757775607,768432990,778388491,789242633,800991787,813656261,827885092,841225988,853178019,865485981,878790092,893626206,908333176,922710365,937712257,949961080,958367798,965322958,970985809,975573269,979815828,983744113,986335930,987820941,988302343,988046970,986411437,983747117,981428759,978973451,977101360,974838887,972620248
"Population ages 15-64, total",SP.POP.1564.TO,Colombia,COL,7863959,8083498,8313930,8552851,8808143,9084650,9372475,9671804,9985467,10311218,10650951,10998285,11356833,11735224,12126788,12528664,12936490,13363618,13814818,14277953,14756400,15240893,15726831,16221285,16714046,17190242,17652525,18108971,18567026,19030955,19503642,19973088,20445476,20936261,21445139,21962775,22481811,23010541,23543493,24075732,24609531,25148826,25695703,26245043,26797208,27347850,27895361,28438763,28966906,29487399,30005339,30507350,30983933,31436885,31863569,32274550,32725009,33347909,34124172,34864151,35450454,35898966,36134433,36204373
"Population ages 15-64, total",SP.POP.1564.TO,Comoros,COM,107519,108777,109966,111034,112067,113385,114995,116948,119379,122131,125151,128418,131911,135614,139514,143535,147713,152081,156569,161164,165744,169959,173626,177203,181127,185452,190199,195361,200913,206826,212830,218557,223950,229141,234464,240193,246358,252927,259869,265562,269838,274253,278879,285254,293749,302805,312043,321533,331409,341759,352544,363649,374956,386341,397726,409091,420518,431323,441139,450795,461089,471883,482706,493719
"Population ages 15-64, total",SP.POP.1564.TO,"Congo, Dem. Rep.",COD,8255955,8492566,8735715,8979559,9218426,9462479,9719354,9988659,10267068,10545561,10822599,11084175,11338596,11607905,11886867,12171378,12452828,12735487,13157588,13682252,14120575,14500966,14886652,15285707,15748547,16232114,16700459,17204206,17734551,18283761,18892109,19517105,20056749,20676253,21870425,22874029,23022211,23074747,23469236,24092224,24758314,25506150,26298298,27060446,27860623,28745016,29679780,30646012,31617848,32602707,33676139,34859554,36042076,37265648,38552131,39857726,41271767,42718391,44087884,45441388,46895823,48438607,50041821,51749918
"Population ages 15-64, total",SP.POP.1564.TO,"Congo, Rep.",COG,569958,582031,594435,607952,622579,637753,653710,670386,687807,706008,725018,744909,765657,787273,809686,830124,848628,867925,888207,909773,932748,956881,981362,1005857,1034603,1067664,1101416,1136368,1172163,1209586,1248394,1288222,1328360,1372048,1416595,1459109,1502645,1532239,1565369,1615478,1699978,1784897,1829663,1887576,1965394,2050388,2141440,2231089,2307930,2410145,2518588,2593573,2653141,2701056,2752500,2808201,2870177,2939095,3013042,3091439,3174994,3263441,3357077,3457164
"Population ages 15-64, total",SP.POP.1564.TO,Costa Rica,CRI,688790,711870,736355,762330,789790,818037,847079,877558,909473,942874,977835,1014532,1053164,1093890,1136606,1181081,1227110,1274345,1322438,1370972,1419534,1467929,1515991,1562881,1608705,1653955,1698518,1742637,1786703,1832023,1880066,1931617,1986798,2045185,2106650,2170718,2236953,2305443,2375728,2446816,2517713,2587214,2654548,2720174,2784591,2847875,2909548,2969169,3026781,3082319,3135435,3185886,3233851,3279106,3321820,3363122,3402685,3438731,3471412,3501710,3528858,3552172,3573975,3596937
